Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
November,2014,Cataluña,Barcelona,Ex-partner,41-50 years,41-50 years,Yes,No,1
November,2014,Cataluña,Barcelona,Partner,31-40 years,31-40 years,No,Yes,1
November,2014,Cataluña,Girona,Partner,31-40 years,51-64 years,Yes,Yes,1
November,2014,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,Yes,Yes,1
November,2014,País Vasco,Álava,Ex-partner,41-50 years,41-50 years,No,No,1
December,2014,Castilla y León,Valladolid,Partner,31-40 years,41-50 years,Yes,Yes,1
December,2014,Comunidad Valenciana,Valencia,Partner,31-40 years,31-40 years,No,Yes,1
December,2014,Comunidad de Madrid,Madrid,Ex-partner,31-40 years,51-64 years,No,No,1
December,2014,País Vasco,Vizcaya,Partner,51-64 years,51-64 years,No,Yes,1
December,2014,Melilla,Melilla,Ex-partner,18-20 years,31-40 years,Yes,No,1
January,2015,Cataluña,Barcelona,Partner,31-40 years,41-50 years,No,Yes,1
January,2015,Comunidad Valenciana,Alicante,Partner,65-74 years,51-64 years,No,Yes,1
January,2015,Comunidad Valenciana,Alicante,Partner,65-74 years,65-74 years,Yes,No,1
February,2015,Andalucía,Málaga,Partner,31-40 years,51-64 years,No,Yes,1
February,2015,Comunidad Valenciana,Valencia,Ex-partner,31-40 years,41-50 years,No,No,1
March,2015,Andalucía,Málaga,Partner,21-30 years,41-50 years,No,Yes,1
March,2015,Cataluña,Lleida,Partner,21-30 years,31-40 years,No,Yes,1
March,2015,Comunidad Valenciana,Alicante,Partner,41-50 years,31-40 years,No,Yes,1
March,2015,Extremadura,Cáceres,Partner,21-30 years,21-30 years,No,Yes,1
April,2015,País Vasco,Álava,Partner,21-30 years,31-40 years,No,Yes,1
May,2015,Andalucía,Almería,Partner,41-50 years,41-50 years,No,Yes,1
May,2015,Comunidad Valenciana,Alicante,Ex-partner,41-50 years,41-50 years,Yes,No,1
May,2015,Galicia,Ourense,Partner,65-74 years,75-84 years,No,Yes,1
May,2015,Comunidad de Madrid,Madrid,Partner,41-50 years,41-50 years,No,Yes,1
June,2015,Andalucía,Sevilla,Partner,41-50 years,51-64 years,Yes,Yes,1
June,2015,Andalucía,Málaga,Partner,31-40 years,51-64 years,No,No,1
June,2015,Cantabria,Cantabria,Partner,31-40 years,41-50 years,No,Yes,1
June,2015,Castilla y León,Soria,Partner,31-40 years,31-40 years,No,Yes,1
June,2015,Cataluña,Barcelona,Partner,41-50 years,41-50 years,No,Yes,1
July,2015,Andalucía,Málaga,Partner,51-64 years,51-64 years,Yes,Yes,1
July,2015,Principado de Asturias,Asturias,Partner,65-74 years,65-74 years,No,Yes,1
July,2015,Principado de Asturias,Asturias,Ex-partner,41-50 years,31-40 years,No,No,1
July,2015,Islas Baleares,Islas Baleares,Ex-partner,31-40 years,31-40 years,No,No,1
July,2015,Canarias,Santa Cruz de Tenerife,Ex-partner,21-30 years,31-40 years,No,No,1
July,2015,Cataluña,Barcelona,Partner,31-40 years,41-50 years,No,Yes,1
July,2015,Comunidad Valenciana,Valencia,Partner,41-50 years,41-50 years,No,Yes,1
July,2015,Galicia,Pontevedra,Ex-partner,21-30 years,31-40 years,No,No,1
July,2015,Comunidad de Madrid,Madrid,Ex-partner,21-30 years,21-30 years,No,No,1
August,2015,Andalucía,Granada,Partner,65-74 years,65-74 years,No,Yes,1
August,2015,Andalucía,Jaén,Partner,41-50 years,51-64 years,No,No,1
August,2015,Castilla - La Mancha,Cuenca,Ex-partner,21-30 years,21-30 years,No,No,1
August,2015,Cataluña,Barcelona,Partner,41-50 years,41-50 years,No,Yes,1
August,2015,Cataluña,Barcelona,Partner,41-50 years,51-64 years,No,No,1
August,2015,País Vasco,Vizcaya,In separation process,31-40 years,31-40 years,No,No,1
September,2015,Comunidad Valenciana,Valencia,Partner,41-50 years,41-50 years,No,No,1
September,2015,Galicia,Pontevedra,Partner,41-50 years,31-40 years,No,No,1
